field,row,column,number,cone_size,date,year,doy,samp_id,depth_cm,resis_kpa
broccoli,3,3,N= 13,1/2 Inch,2020-03-16,2020,76,broccoli_13,5,552
broccoli,3,4,N= 15,1/2 Inch,2020-03-16,2020,76,broccoli_15,5,34
broccoli,3,5,N= 17,1/2 Inch,2020-03-16,2020,76,broccoli_17,5,1138
leafbag,2,3,N= 2,1/2 Inch,2020-03-16,2020,76,leafbag_2,5,586
leafbag,3,3,N= 3,1/2 Inch,2020-03-16,2020,76,leafbag_3,5,414
leafbag,4,3,N= 5,1/2 Inch,2020-03-16,2020,76,leafbag_5,5,34
leafbag,4,3,N= 6,1/2 Inch,2020-03-16,2020,76,leafbag_6,5,828
leafbag,5,2,N= 8,1/2 Inch,2020-03-16,2020,76,leafbag_8,5,207
leafbag,4,2,N= 9,1/2 Inch,2020-03-16,2020,76,leafbag_9,5,276
leafbag,3,2,N= 10,1/2 Inch,2020-03-16,2020,76,leafbag_10,5,414
leafbag,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,leafbag_11,5,621
leafbag,1,2,N= 12,1/2 Inch,2020-03-16,2020,76,leafbag_12,5,828
leafbag,1,1,N= 13,1/2 Inch,2020-03-16,2020,76,leafbag_13,5,138
leafbag,3,1,N= 14,1/2 Inch,2020-03-16,2020,76,leafbag_14,5,34
leafbag,4,1,N= 15,1/2 Inch,2020-03-16,2020,76,leafbag_15,5,483
leafbag,5,1,N= 16,1/2 Inch,2020-03-16,2020,76,leafbag_16,5,656
OG,1,4,N= 1,1/2 Inch,2020-03-16,2020,76,OG_1,5,242
OG,2,4,N= 2,1/2 Inch,2020-03-16,2020,76,OG_2,5,242
OG,3,4,N= 3,1/2 Inch,2020-03-16,2020,76,OG_3,5,310
OG,4,4,N= 4,1/2 Inch,2020-03-16,2020,76,OG_4,5,380
OG,4,4,N= 6,1/2 Inch,2020-03-16,2020,76,OG_6,5,380
OG,4,4,N= 7,1/2 Inch,2020-03-16,2020,76,OG_7,5,69
OG,4,3,N= 8,1/2 Inch,2020-03-16,2020,76,OG_8,5,276
OG,3,3,N= 9,1/2 Inch,2020-03-16,2020,76,OG_9,5,207
OG,2,3,N= 10,1/2 Inch,2020-03-16,2020,76,OG_10,5,552
OG,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,OG_11,5,656
OG,3,2,N= 12,1/2 Inch,2020-03-16,2020,76,OG_12,5,586
OG,4,1,N= 14,1/2 Inch,2020-03-16,2020,76,OG_14,5,310
OG,3,1,N= 15,1/2 Inch,2020-03-16,2020,76,OG_15,5,380
OG,2,1,N= 17,1/2 Inch,2020-03-16,2020,76,OG_17,5,310
prairie-trees,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,prairie-trees_2,5,621
prairie-trees,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,prairie-trees_3,5,828
prairie-trees,3,2,N= 4,1/2 Inch,2020-03-16,2020,76,prairie-trees_4,5,794
prairie-trees,3,3,N= 5,1/2 Inch,2020-03-16,2020,76,prairie-trees_5,5,621
prairie-trees,3,4,N= 6,1/2 Inch,2020-03-16,2020,76,prairie-trees_6,5,828
prairie-trees,3,5,N= 7,1/2 Inch,2020-03-16,2020,76,prairie-trees_7,5,724
berries,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,berries_1,5,656
berries,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,berries_2,5,621
berries,3,1,N= 3,1/2 Inch,2020-03-16,2020,76,berries_3,5,552
vineyard,3,1,N= 1,1/2 Inch,2020-03-16,2020,76,vineyard_1,5,656
vineyard,2,1,N= 2,1/2 Inch,2020-03-16,2020,76,vineyard_2,5,862
vineyard,1,1,N= 3,1/2 Inch,2020-03-16,2020,76,vineyard_3,5,518
vineyard,1,2,N= 4,1/2 Inch,2020-03-16,2020,76,vineyard_4,5,518
vineyard,2,2,N= 5,1/2 Inch,2020-03-16,2020,76,vineyard_5,5,621
vineyard,3,2,N= 6,1/2 Inch,2020-03-16,2020,76,vineyard_6,5,794
vineyard,3,3,N= 7,1/2 Inch,2020-03-16,2020,76,vineyard_7,5,518
vineyard,2,3,N= 8,1/2 Inch,2020-03-16,2020,76,vineyard_8,5,552
vineyard,1,3,N= 9,1/2 Inch,2020-03-16,2020,76,vineyard_9,5,483
broccoli,1,1,N= 1,1/2 Inch,2020-03-16,2020,76,broccoli_1,7.5,759
broccoli,1,2,N= 2,1/2 Inch,2020-03-16,2020,76,broccoli_2,7.5,414
broccoli,1,3,N= 3,1/2 Inch,2020-03-16,2020,76,broccoli_3,7.5,966
broccoli,1,4,N= 4,1/2 Inch,2020-03-16,2020,76,broccoli_4,7.5,724
broccoli,1,5,N= 5,1/2 Inch,2020-03-16,2020,76,broccoli_5,7.5,828
broccoli,2,5,N= 6,1/2 Inch,2020-03-16,2020,76,broccoli_6,7.5,1173
broccoli,2,4,N= 7,1/2 Inch,2020-03-16,2020,76,broccoli_7,7.5,724
broccoli,2,3,N= 8,1/2 Inch,2020-03-16,2020,76,broccoli_8,7.5,621
broccoli,2,2,N= 9,1/2 Inch,2020-03-16,2020,76,broccoli_9,7.5,966
broccoli,2,1,N= 10,1/2 Inch,2020-03-16,2020,76,broccoli_10,7.5,759
broccoli,3,1,N= 11,1/2 Inch,2020-03-16,2020,76,broccoli_11,7.5,552
broccoli,3,3,N= 13,1/2 Inch,2020-03-16,2020,76,broccoli_13,7.5,828
broccoli,3,4,N= 15,1/2 Inch,2020-03-16,2020,76,broccoli_15,7.5,34
broccoli,3,5,N= 17,1/2 Inch,2020-03-16,2020,76,broccoli_17,7.5,1138
leafbag,2,3,N= 2,1/2 Inch,2020-03-16,2020,76,leafbag_2,7.5,932
leafbag,3,3,N= 3,1/2 Inch,2020-03-16,2020,76,leafbag_3,7.5,586
leafbag,4,3,N= 5,1/2 Inch,2020-03-16,2020,76,leafbag_5,7.5,448
leafbag,4,3,N= 6,1/2 Inch,2020-03-16,2020,76,leafbag_6,7.5,1104
leafbag,5,2,N= 8,1/2 Inch,2020-03-16,2020,76,leafbag_8,7.5,794
leafbag,4,2,N= 9,1/2 Inch,2020-03-16,2020,76,leafbag_9,7.5,656
leafbag,3,2,N= 10,1/2 Inch,2020-03-16,2020,76,leafbag_10,7.5,759
leafbag,2,2,N= 11,1/2 Inch,2020-03-16,2020,76,leafbag_11,7.5,794
leafbag,1,2,N= 12,1/2 Inch,2020-03-16,2020,76,leafbag_12,7.5,932
leafbag,1,1,N= 13,1/2 Inch,2020-03-16,2020,76,leafbag_13,7.5,276
leafbag,3,1,N= 14,1/2 Inch,2020-03-16,2020,76,leafbag_14,7.5,518
leafbag,4,1,N= 15,1/2 Inch,2020-03-16,2020,76,leafbag_15,7.5,586
leafbag,5,1,N= 16,1/2 Inch,2020-03-16,2020,76,leafbag_16,7.5,828
OG,1,4,N= 1,1/2 Inch,2020-03-16,2020,76,OG_1,7.5,242
OG,2,4,N= 2,1/2 Inch,2020-03-16,2020,76,OG_2,7.5,483
OG,3,4,N= 3,1/2 Inch,2020-03-16,2020,76,OG_3,7.5,276
OG,4,4,N= 4,1/2 Inch,2020-03-16,2020,76,OG_4,7.5,380
OG,4,4,N= 6,1/2 Inch,2020-03-16,2020,76,OG_6,7.5,621
OG,4,4,N= 7,1/2 Inch,2020-03-16,2020,76,OG_7,7.5,138
OG,4,3,N= 8,1/2 Inch,2020-03-16,2020,76,OG_8,7.5,483
OG,3,3,N= 9,1/2 Inch,2020-03-16,2020,76,OG_9,7.5,518
